"","Name","Result","Fighter","Event","Method/Referee","Round","Time"
"3114","Jason DeLucia","win","Osami Shibuya","Pancrase - Truth 9Nov / 09 / 1996","Submission (Rear-Naked Choke)Hirotoshi Okamoto","1","11:45"
"3212","Jason DeLucia","win","Yuki Kondo","Pancrase - Truth 7Oct / 08 / 1996","Decision (Lost Points)Soichi Hiroto","1","20:00"
"3311","Jason DeLucia","win","Minoru Suzuki","Pancrase - 1996 Anniversary ShowSep / 07 / 1996","KO (Palm Strike)Hirotoshi Okamoto","1","4:58"
"347","Jason DeLucia","loss","Bas Rutten","Pancrase - Truth 6Jun / 25 / 1996","KO (Kick to the Body)Soichi Hiroto","1","8:48"
"357","Jason DeLucia","win","Osami Shibuya","Pancrase - Truth 5May / 16 / 1996","Decision (Points)Soichi Hiroto","1","15:00"
"367","Jason DeLucia","win","Kiuma Kunioku","Pancrase - Truth 4Apr / 07 / 1996","Decision (Points)Hirotoshi Okamoto","1","15:00"
"376","Jason DeLucia","win","Kazuo Takahashi","Pancrase - Truth 2Mar / 02 / 1996","KO (Palm Strikes)Kenji Kosuge","1","3:37"
"385","Jason DeLucia","win","Katsuomi Inagaki","Pancrase - Truth 1Jan / 28 / 1996","Submission (Arm-Triangle Choke)Hirotoshi Okamoto","1","4:56"
"394","Jason DeLucia","win","Takafumi Ito","Pancrase - Eyes Of Beast 7Dec / 14 / 1995","Submission (Rear-Naked Choke)Hirotoshi Okamoto","1","3:49"
"404","Jason DeLucia","win","Takaku Fuke","Pancrase - Eyes Of Beast 6Nov / 04 / 1995","Decision (Lost Points)Kenji Kosuge","1","30:00"
"4112","Jason DeLucia","win","Ryushi Yanagisawa","Pancrase - 1995 Anniversary ShowSep / 01 / 1995","Submission (Triangle Choke)Hirotoshi Okamoto","1","2:25"
"4210","Jason DeLucia","loss","Minoru Suzuki","Pancrase - 1995 Neo-Blood Tournament Opening RoundJul / 22 / 1995","Submission (Guillotine Choke)Soichi Hiroto","1","9:23"
"434","Jason DeLucia","loss","Bas Rutten","Pancrase - Eyes Of Beast 5Jun / 13 / 1995","Submission (Heel Hook)Hirotoshi Okamoto","1","1:32"
"444","Jason DeLucia","loss","Manabu Yamada","Pancrase - Eyes Of Beast 4May / 13 / 1995","Submission (Heel Hook)Hirotoshi Okamoto","1","3:03"
"454","Jason DeLucia","win","John Renfroe","Pancrase - Eyes Of Beast 3Apr / 08 / 1995","Submission (Heel Hook)Hirotoshi Okamoto","1","1:36"
"464","Jason DeLucia","win","Manabu Yamada","Pancrase - Eyes Of Beast 2Mar / 10 / 1995","TKO (Doctor Stoppage)Hirotoshi Okamoto","1","1:41"
"473","Jason DeLucia","loss","Masakatsu Funaki","Pancrase - Eyes Of Beast 1Jan / 26 / 1995","Submission (Heel Hook)Hirotoshi Okamoto","1","9:04"
"482","Jason DeLucia","loss","Minoru Suzuki","Pancrase - King of Pancrase Tournament Opening RoundDec / 16 / 1994","Submission (Heel Hook)Masaaki Hirahara","1","2:04"
"492","Jason DeLucia","win","Thomas Puckett","Pancrase - King of Pancrase Tournament Opening RoundDec / 16 / 1994","KO (Head Kick)Masaaki Hirahara","1","0:48"
"501","Jason DeLucia","loss","Bas Rutten","Pancrase - Road To The Championship 5Oct / 15 / 1994","Submission (Guillotine Choke)N/A","1","1:43"
"5110","Jason DeLucia","win","Matt Hume","Pancrase - Road To The Championship 4Sep / 01 / 1994","Decision (Points)N/A","1","15:00"
"525","Jason DeLucia","loss","Takaku Fuke","Pancrase - Road To The Championship 3Jul / 26 / 1994","Submission (Heel Hook)N/A","1","4:00"
"532","Jason DeLucia","win","Masakatsu Funaki","Pancrase - Road To The Championship 2Jul / 06 / 1994","Submission (Kneebar)N/A","1","1:01"
"542","Jason DeLucia","loss","Royce Gracie","UFC 2 - No Way OutMar / 11 / 1994","Submission (Armbar)John McCarthy","1","1:07"
"552","Jason DeLucia","win","Scott Baker","UFC 2 - No Way OutMar / 11 / 1994","TKO (Submission to Punches)John McCarthy","1","6:41"
"561","Jason DeLucia","win","Trent Jenkins","UFC 1 - The BeginningNov / 12 / 1993","Submission (Rear-Naked Choke)Joao Alberto Barreto","1","0:52"
"259","Trent Jenkins","loss","Griffen Reynaud","Rings USA - Rising Stars Block AJul / 15 / 2000","Submission (Keylock)Lonnie Foster","1","2:27"
"348","Trent Jenkins","loss","Josh Reason","BRI 1 - Bas Rutten Invitational 1Feb / 06 / 1999","TKO (Punches)John Perretti","1","4:49"
"435","Trent Jenkins","loss","Mark Hall","UFC - Ultimate Ultimate 1995Dec / 16 / 1995","Submission (Armlock)John McCarthy","1","5:29"
"526","Trent Jenkins","loss","Jason DeLucia","UFC 1 - The BeginningNov / 12 / 1993","Submission (Rear-Naked Choke)Joao Alberto Barreto","1","0:52"
"260","Scott Morris","win","Robert Simpson","PRW - Power Ring WarriorsJun / 12 / 1998","Submission (Armbar)N/A","1","0:00"
"349","Scott Morris","loss","Patrick Smith","UFC 2 - No Way OutMar / 11 / 1994","KO (Elbows)John McCarthy","1","0:30"
"436","Scott Morris","win","Sean Daugherty","UFC 2 - No Way OutMar / 11 / 1994","Submission (Guillotine Choke)John McCarthy","1","0:20"
"269","Sean Daugherty","loss","Minoru Suzuki","Pancrase - Trans 3Apr / 30 / 2000","Submission (Kimura)Yoshinori Umeki","1","1:01"
"350","Sean Daugherty","loss","Scott Morris","UFC 2 - No Way OutMar / 11 / 1994","Submission (Guillotine Choke)John McCarthy","1","0:20"
"270","Ray Wizard","loss","Patrick Smith","UFC 2 - No Way OutMar / 11 / 1994","Submission (Guillotine Choke)John McCarthy","1","0:58"
