"","Name","Result","Fighter","Event","Method/Referee","Round","Time"
"24161","Hayato Sakurai","loss","Crosley Gracie","Pride - Bushido 5Oct / 14 / 2004","Submission (Armbar)N/A","2","1:02"
"25142","Hayato Sakurai","win","Brady Fink","Pride - Bushido 4Jul / 19 / 2004","Submission (Guillotine Choke)N/A","1","4:08"
"26132","Hayato Sakurai","loss","Rodrigo Gracie","Pride - Bushido 2Feb / 15 / 2004","Decision (Unanimous)N/A","2","5:00"
"27124","Hayato Sakurai","win","Daiju Takase","Pride FC - Shockwave 2003Dec / 31 / 2003","Decision (Unanimous)N/A","3","5:00"
"28119","Hayato Sakurai","loss","Ryo Chonan","Deep - 12th ImpactSep / 15 / 2003","TKO (Doctor Stoppage)Keiji Shiozaki","3","2:10"
"29112","Hayato Sakurai","win","Dave Menne","Deep - 10th ImpactJun / 25 / 2003","TKO (Doctor Stoppage)Keiji Shiozaki","2","2:02"
"30100","Hayato Sakurai","win","Ryuki Ueyama","Deep - 8th ImpactMar / 04 / 2003","Decision (Unanimous)Keiji Shiozaki","3","5:00"
"31169","Hayato Sakurai","loss","Jake Shields","Shooto - Year End Show 2002Dec / 14 / 2002","Decision (Unanimous)N/A","3","5:00"
"32149","Hayato Sakurai","loss","Matt Hughes","UFC 36 - Worlds CollideMar / 22 / 2002","TKO (Punches)N/A","4","3:01"
"33125","Hayato Sakurai","win","Dan Gilbert","Shooto - To The Top Final ActDec / 16 / 2001","Submission (Heel Hook)N/A","1","1:52"
"34115","Hayato Sakurai","loss","Anderson Silva","Shooto - To The Top 7Aug / 26 / 2001","Decision (Unanimous)N/A","3","5:00"
"35107","Hayato Sakurai","win","Jean Louis Alberch","GT - Golden Trophy 2001Mar / 01 / 2001","DecisionN/A","2","3:00"
"36100","Hayato Sakurai","win","Frank Trigg","Shooto - R.E.A.D. FinalDec / 17 / 2000","TKO (Knees)N/A","2","2:25"
"3771","Hayato Sakurai","win","Luiz Azeredo","Shooto - R.E.A.D. 8Aug / 04 / 2000","Decision (Unanimous)N/A","3","5:00"
"3868","Hayato Sakurai","win","Tetsuji Kato","Shooto - R.E.A.D. 2Mar / 17 / 2000","Decision (Split)N/A","3","5:00"
"3965","Hayato Sakurai","win","Haroldo Bunn","VTJ 1999 - Vale Tudo Japan 1999Dec / 11 / 1999","TKO (Punches)N/A","3","1:31"
"4058","Hayato Sakurai","win","Brad Aird","Shooto - Renaxis 2Jul / 16 / 1999","Submission (Armbar)N/A","1","0:37"
"41142","Hayato Sakurai","win","Marcelo Aguiar","Shooto - 10th Anniversary EventMay / 29 / 1999","Decision (Unanimous)N/A","3","5:00"
"42120","Hayato Sakurai","win","Jean Louis Alberch","GT - Golden Trophy 1999Mar / 20 / 1999","Submission (Armbar)N/A","1","0:33"
"43107","Hayato Sakurai","win","Damien Riccio","GT - Golden Trophy 1999Mar / 20 / 1999","DecisionN/A","1","5:00"
"44102","Hayato Sakurai","win","James Schiavo","GT - Golden Trophy 1999Mar / 20 / 1999","Submission (Toe Hold)N/A","1","0:26"
"4557","Hayato Sakurai","win","Ademir Oliveira","Shooto - Devilock FightersJan / 15 / 1999","KO (Flying Knee)N/A","1","0:34"
"4653","Hayato Sakurai","win","Sergei Bytchkov","VTJ 1998 - Vale Tudo Japan 1998Oct / 25 / 1998","Submission (Armbar)N/A","1","4:59"
"4749","Hayato Sakurai","win","Ronny Rivano","Shooto - Las Grandes Viajes 4Jul / 29 / 1998","Submission (Rear-Naked Choke)N/A","1","1:10"
"4847","Hayato Sakurai","win","Jutaro Nakao","Shooto - Las Grandes Viajes 3May / 13 / 1998","Decision (Unanimous)N/A","3","5:00"
"4944","Hayato Sakurai","draw","Marcelo Aguiar","VTJ 1997 - Vale Tudo Japan 1997Nov / 29 / 1997","DrawN/A","3","8:00"
"5039","Hayato Sakurai","win","Alex Cook","Shooto - Reconquista 4Oct / 12 / 1997","Submission (Rear-Naked Choke)N/A","1","1:09"
"51124","Hayato Sakurai","win","Ali Elias","Shooto - Reconquista 3Aug / 27 / 1997","Submission (Armbar)N/A","1","1:23"
"52106","Hayato Sakurai","win","Hiroyuki Kojima","Shooto - GigJun / 25 / 1997","Decision (Unanimous)N/A","2","5:00"
"5398","Hayato Sakurai","draw","Takuya Kuwabara","Shooto - Reconquista 1Jan / 18 / 1997","DrawN/A","3","3:00"
"5434","Hayato Sakurai","win","Caol Uno","Shooto - Let's Get LostOct / 04 / 1996","Submission (Armbar)N/A","1","2:52"
"21078","Haroldo Bunn","win","Johil de Oliveira","Shooto Brasil 87 - BOPEAug / 24 / 2018","Submission (Armbar)Osiris Maia","1","4:38"
"3702","Haroldo Bunn","loss","Jonas    Silva","Shooto Brazil 49 - Fight for BOPE 4Aug / 24 / 2014","TKO (Punches)Tenorio","1","2:22"
"4558","Haroldo Bunn","loss","Johil de Oliveira","Shooto Brazil 25 - Fight for BOPEAug / 25 / 2011","TKO (Doctor Stoppage)Cacau","2","4:09"
"5399","Haroldo Bunn","loss","Leonardo Souza","BSF - Brazil Super FightSep / 19 / 2003","TKO (Punches)N/A","2","1:50"
"6349","Haroldo Bunn","NC","Rodrigo Ruas","K - NOCKJul / 23 / 2003","NC (Fighters Fell From the Ring)N/A","1","2:40"
"7320","Haroldo Bunn","win","Claudionor da Silva Fontinelle","Meca 7 - Meca World Vale Tudo 7Nov / 08 / 2002","Submission (Rear-Naked Choke)N/A","1","2:47"
"8290","Haroldo Bunn","loss","Hayato Sakurai","VTJ 1999 - Vale Tudo Japan 1999Dec / 11 / 1999","TKO (Punches)N/A","3","1:31"
"9268","Haroldo Bunn","loss","Luiz Claudio das Dores","IVC 13 - The New Generation of LightweightsAug / 26 / 1999","TKO (Doctor Stoppage)N/A","1","10:27"
"10256","Haroldo Bunn","win","Johnny Eduardo","IVC 13 - The New Generation of LightweightsAug / 26 / 1999","Submission (Kneebar)N/A","1","7:40"
"11247","Haroldo Bunn","loss","Milton Bahia","IVC 10 - World Class ChampionsApr / 27 / 1999","TKO (Rib Injury)N/A","1","3:31"
"12228","Haroldo Bunn","win","William Bujande","RnB 1 - Rock'N Brawl 1Nov / 22 / 1997","TKO (Corner Stoppage)N/A","0","0:00"
"21079","Ricardo Botelho","loss","Caol Uno","VTJ 1998 - Vale Tudo Japan 1998Oct / 25 / 1998","TKO (Submission to Punches)N/A","3","2:03"
"3703","Ricardo Botelho","win","Joel Gerson","Shooto - Las Grandes Viajes 5Aug / 29 / 1998","Decision (Split)N/A","3","5:00"
"4559","Ricardo Botelho","win","Masato Fujiwara","Shooto - Las Grandes Viajes 1Jan / 17 / 1998","Decision (Unanimous)N/A","3","5:00"
"5400","Ricardo Botelho","loss","Rumina Sato","Shooto - Reconquista 1Jan / 18 / 1997","Submission (Heel Hook)N/A","3","1:24"
"6350","Ricardo Botelho","win","Cristiano Franca","UVF 4 - Universal Vale Tudo Fighting 4Oct / 22 / 1996","Submission (Rear-Naked Choke)N/A","1","3:58"
"21080","Vladimir Matyushenko","loss","Joey Beltran","Bellator MMA - Bellator 116Apr / 11 / 2014","Submission (North-South Choke)Jason Herzog","3","3:06"
"3704","Vladimir Matyushenko","win","Houston Alexander","Bellator MMA - Bellator 99Sep / 13 / 2013","Decision (Unanimous)Jason Herzog","3","5:00"
"4560","Vladimir Matyushenko","loss","Ryan Bader","UFC on Fox 6 - Johnson vs. DodsonJan / 26 / 2013","Submission (Guillotine Choke)John McCarthy","1","0:50"
"5401","Vladimir Matyushenko","loss","Alexander Gustafsson","UFC 141 - Lesnar vs. OvereemDec / 30 / 2011","TKO (Punches)Yves Lavigne","1","2:13"
"6351","Vladimir Matyushenko","win","Jason Brilz","UFC 129 - St. Pierre vs. ShieldsApr / 30 / 2011","KO (Punches)Dan Miragliotta","1","0:20"
"7321","Vladimir Matyushenko","win","Alexandre Ferreira","UFC 122 - Marquardt vs. OkamiNov / 13 / 2010","TKO (Punches and Elbows)Kevin Mulhall","1","2:20"
"8291","Vladimir Matyushenko","loss","Jon Jones","UFC Live 2 - Jones vs. MatyushenkoAug / 01 / 2010","TKO (Elbows)Herb Dean","1","1:52"
"9269","Vladimir Matyushenko","win","Eliot Marshall","UFC Live 1 - Vera vs. JonesMar / 21 / 2010","Decision (Split)Adam Martinez","3","5:00"
"10257","Vladimir Matyushenko","win","Igor Pokrajac","UFC 103 - Franklin vs. BelfortSep / 19 / 2009","Decision (Unanimous)Leon Roberts","3","5:00"
"11248","Vladimir Matyushenko","win","Jason Lambert","Call To Arms - Call To Arms 1May / 16 / 2009","Decision (Unanimous)Larry Landless","3","5:00"
"12229","Vladimir Matyushenko","loss","Antonio Rogerio Nogueira","Affliction - Day of ReckoningJan / 24 / 2009","KO (Knee)Nelson Hamilton","2","4:26"
"13206","Vladimir Matyushenko","win","Jamal Patterson","IFL - New JerseyApr / 04 / 2008","TKO (Punches)N/A","2","3:35"
"14201","Vladimir Matyushenko","win","Alex Schoenauer","IFL - World Grand Prix SemifinalsNov / 03 / 2007","Decision (Unanimous)N/A","3","4:00"
"15189","Vladimir Matyushenko","win","Tim Boetsch","IFL - 2007 SemifinalsAug / 02 / 2007","Decision (Unanimous)N/A","3","4:00"
"16185","Vladimir Matyushenko","win","Aaron Stark","IFL - EverettJun / 01 / 2007","TKO (Punches)N/A","1","2:49"
"17177","Vladimir Matyushenko","win","Justin Levens","IFL - Los AngelesMar / 17 / 2007","TKO (Punches)N/A","1","3:07"
"18171","Vladimir Matyushenko","win","Dwayne Compton","IFL - HoustonFeb / 02 / 2007","Submission (Armbar)N/A","1","1:47"
"19166","Vladimir Matyushenko","win","Anthony    Ruiz","Extreme Wars 3 - Bay Area BrawlJun / 03 / 2006","Submission (Armbar)N/A","1","2:03"
"20153","Vladimir Matyushenko","win","Carlos Barreto","JF - Jungle Fight 4May / 21 / 2005","TKO (Knee Injury)N/A","1","0:26"
"21215","Vladimir Matyushenko","loss","Andrei Arlovski","UFC 44 - UndisputedSep / 26 / 2003","KO (Punch)N/A","1","1:59"
"22196","Vladimir Matyushenko","win","Pedro Rizzo","UFC 41 - OnslaughtFeb / 28 / 2003","Decision (Unanimous)N/A","3","5:00"
"23176","Vladimir Matyushenko","win","Travis Wiuff","UFC 40 - VendettaNov / 22 / 2002","TKO (Submission to Punches)N/A","1","4:10"
"24162","Vladimir Matyushenko","win","Antonio Rogerio Nogueira","UFO - LegendAug / 08 / 2002","Decision (Unanimous)N/A","3","5:00"
"25143","Vladimir Matyushenko","loss","Tito Ortiz","UFC 33 - Victory in VegasSep / 28 / 2001","Decision (Unanimous)N/A","5","5:00"
"26133","Vladimir Matyushenko","win","Yuki Kondo","UFC 32 - Showdown in the MeadowlandsJun / 29 / 2001","Decision (Unanimous)N/A","3","5:00"
"27125","Vladimir Matyushenko","win","Tommy Sauer","WEF - New Blood ConflictAug / 26 / 2000","TKO (Cut)N/A","2","2:17"
"28120","Vladimir Matyushenko","win","John Marsh","IFC WC 6 - Warriors Challenge 6Mar / 25 / 2000","Decision (Unanimous)N/A","1","20:00"
"29113","Vladimir Matyushenko","loss","Vernon White","IFC - Montreal Cage CombatOct / 09 / 1999","Decision (Split)N/A","1","25:00"
"30101","Vladimir Matyushenko","win","Travis Fulton","IFC - Fighters RevengeApr / 02 / 1999","Submission (Neck Crank)N/A","1","15:33"
"31170","Vladimir Matyushenko","win","Kenji Kawaguchi","VTJ 1998 - Vale Tudo Japan 1998Oct / 25 / 1998","KO (Punches)N/A","1","3:10"
"32150","Vladimir Matyushenko","win","Joe Pardo","RIR - Rumble in RenoSep / 04 / 1998","Decision (Unanimous)N/A","3","5:00"
"33126","Vladimir Matyushenko","win","Anthony Macias","IFC 7 - Cage CombatMay / 30 / 1998","TKO (Doctor Stoppage)Yoland Gregoire","1","0:16"
"34116","Vladimir Matyushenko","win","Anthony Macias","IFC 5 - Battle in the BayouSep / 05 / 1997","TKO (Submission to Punches)Andy Anderson","1","2:59"
"35108","Vladimir Matyushenko","win","Robert Lalonde","IFC 5 - Battle in the BayouSep / 05 / 1997","TKO (Submission to Punches)Andy Anderson","1","2:27"
"36101","Vladimir Matyushenko","win","Vernon White","IFC 5 - Battle in the BayouSep / 05 / 1997","Submission (Neck Crank)Andy Anderson","1","5:44"
"21081","Kenji Kawaguchi","loss","Yuki Kondo","Pancrase - 271Nov / 01 / 2015","KO (Punch)Yoshinori Umeki","1","1:53"
"3705","Kenji Kawaguchi","win","Deividas Petrauskas","Shooto - The DevilockMay / 12 / 2006","TKO (Punches)N/A","1","2:05"
"4561","Kenji Kawaguchi","loss","Carlos Newton","Shooto - 10th Anniversary EventMay / 29 / 1999","Submission (Armbar)N/A","1","5:00"
"5402","Kenji Kawaguchi","loss","Vladimir Matyushenko","VTJ 1998 - Vale Tudo Japan 1998Oct / 25 / 1998","KO (Punches)N/A","1","3:10"
"6352","Kenji Kawaguchi","win","Ante Jurisic","Shooto - Las Grandes Viajes 4Jul / 29 / 1998","Submission (Heel Hook)N/A","2","0:35"
"7322","Kenji Kawaguchi","loss","Masanori Suda","Shooto - Las Grandes Viajes 2Mar / 01 / 1998","Submission (Armbar)N/A","3","1:08"
"8292","Kenji Kawaguchi","win","Jan Lomulder","VTJ 1997 - Vale Tudo Japan 1997Nov / 29 / 1997","Submission (Rear-Naked Choke)N/A","3","3:49"
"9270","Kenji Kawaguchi","loss","Erik Paulson","Shooto - Vale Tudo Junction 3May / 07 / 1996","Submission (Toe Hold)N/A","3","1:23"
"10258","Kenji Kawaguchi","win","Tommy Walkingstick","VTJ 1995 - Vale Tudo Japan 1995Apr / 20 / 1995","Submission (Armbar)N/A","1","6:29"
"11249","Kenji Kawaguchi","loss","Erik Paulson","Shooto - Vale Tudo Access 2Nov / 07 / 1994","Technical Submission (Armbar)N/A","2","1:03"
"12230","Kenji Kawaguchi","loss","Jan Lomulder","VTJ 1994 - Vale Tudo Japan 1994Jul / 29 / 1994","TKO (Soccer Kick)N/A","1","2:59"
"13207","Kenji Kawaguchi","win","Yasunori Okuda","Shooto - ShootoMay / 06 / 1994","Submission (Guillotine Choke)N/A","1","2:55"
"14202","Kenji Kawaguchi","win","Tomokazu Fukaya","Shooto - ShootoMar / 18 / 1994","Submission (Kneebar)N/A","1","0:32"
"15190","Kenji Kawaguchi","draw","Satoshi Honma","Shooto - ShootoNov / 27 / 1992","DrawN/A","5","3:00"
"16186","Kenji Kawaguchi","win","Manabu Yamada","Shooto - ShootoJul / 23 / 1992","Submission (Kneebar)N/A","1","0:36"
"17178","Kenji Kawaguchi","win","Satoshi Honma","Shooto - ShootoOct / 17 / 1991","Decision (Unanimous)N/A","5","3:00"
"18172","Kenji Kawaguchi","draw","Kazuhiro Kusayanagi","Shooto - ShootoAug / 25 / 1991","DrawN/A","5","3:00"
"19167","Kenji Kawaguchi","win","Manabu Yamada","Shooto - ShootoMay / 31 / 1991","Submission (Kneebar)N/A","1","0:58"
"20154","Kenji Kawaguchi","win","Naoki Sakurada","Shooto - ShootoJan / 13 / 1991","Submission (Guillotine Choke)N/A","1","0:00"
"21216","Kenji Kawaguchi","win","Yuji Ito","Shooto - ShootoNov / 28 / 1990","KO (Punches)N/A","3","0:37"
"22197","Kenji Kawaguchi","draw","Yasuto Sekishima","Shooto - ShootoMar / 17 / 1990","DrawN/A","5","3:00"
"23177","Kenji Kawaguchi","win","Naoki Sakurada","Shooto - ShootoJan / 13 / 1990","TKO (Punches)N/A","4","1:29"
"24163","Kenji Kawaguchi","win","Mitsuo Fujikura","Shooto - ShootoOct / 19 / 1989","Submission (Armbar)N/A","2","0:41"
"25144","Kenji Kawaguchi","draw","Yuji Ito","Shooto - ShootoJul / 29 / 1989","DrawN/A","4","3:00"
"26134","Kenji Kawaguchi","win","Tadashi Yokoyama","Shooto - ShootoMay / 18 / 1989","Submission (Kneebar)N/A","1","0:00"
"21082","Branden Lee Hinkle","win","Marvin Babe","Horsepower Promotions - Fists of Fury 10Feb / 06 / 2016","Submission Mark Carter","1","2:43"
"3706","Branden Lee Hinkle","win","Alonzo Roane","RCC - West Virginia vs. The WorldMay / 18 / 2012","TKO (Punches)Gary Copeland","2","1:39"
"4562","Branden Lee Hinkle","loss","Jessie Gibbs","PFC 3 - Pancrase Fighting Championship 3Apr / 02 / 2011","Submission (Rear-Naked Choke)N/A","1","2:25"
"5403","Branden Lee Hinkle","win","Kevin Jordan","DFL 1 - The Big BangNov / 24 / 2010","TKO (Punches)Donnie Carolei","1","2:30"
"6353","Branden Lee Hinkle","loss","Chris Tuchscherer","EB - Beatdown at 4 Bears 4Mar / 21 / 2009","TKO (Punches)Dan Grimstad","4","4:43"
"7323","Branden Lee Hinkle","win","Roman Zentsov","Bodog Fight - Alvarez vs. LeeJul / 14 / 2007","Decision (Unanimous)N/A","3","5:00"
"8293","Branden Lee Hinkle","loss","Alexandre Ferreira","GFC - EvolutionMay / 19 / 2007","Submission (Heel Hook)Mario Yamasaki","1","0:37"
"9271","Branden Lee Hinkle","loss","Jason Lambert","UFC Fight Night 5 - Leben vs. SilvaJun / 28 / 2006","TKO (Punches)N/A","1","5:00"
"10259","Branden Lee Hinkle","loss","Jeff Monson","UFC 57 - Liddell vs. Couture 3Feb / 04 / 2006","Technical Submission (North-South Choke)Herb Dean","1","4:35"
"11250","Branden Lee Hinkle","win","Sean Gannon","UFC 55 - FuryOct / 07 / 2005","TKO (Punches)Herb Dean","1","4:14"
"12231","Branden Lee Hinkle","win","Jason DeAngelo","HHCF 21 - RedemptionAug / 26 / 2005","TKO (Submission to Strikes)N/A","1","0:00"
"13208","Branden Lee Hinkle","win","Tommy Sauer","WEF - Sin CityMay / 20 / 2005","TKO (Punches)Nelson Hamilton","1","2:19"
"14203","Branden Lee Hinkle","win","Daisuke Watanabe","NF 5 - Neo Fight 5Oct / 02 / 2004","DecisionN/A","3","5:00"
"15191","Branden Lee Hinkle","win","Sim Kyum Kim","NF 5 - Neo Fight 5Oct / 02 / 2004","TKON/A","1","3:26"
"16187","Branden Lee Hinkle","NC","Sang Min Lee","NF 2 - Neo Fight 2Dec / 20 / 2003","No ContestN/A","0","0:00"
"17179","Branden Lee Hinkle","win","Sang Hyun Park","NF 2 - Neo Fight 2Dec / 20 / 2003","TKO (Leg Kick)N/A","1","1:00"
"18173","Branden Lee Hinkle","win","Rogelio Sanchez","VTX - Vale Todo Xtremeo 1Nov / 22 / 2003","Submission (Armbar)N/A","1","1:23"
"19168","Branden Lee Hinkle","win","Eric Knox","NLF 1 - Next Level Fighting 1Sep / 13 / 2003","TKO (Submission to Punches)N/A","1","1:00"
"20155","Branden Lee Hinkle","loss","Gabriel Gonzaga","Meca 9 - Meca World Vale Tudo 9Aug / 01 / 2003","Submission (Triangle Choke)Wanderlei Silva","1","3:54"
"21217","Branden Lee Hinkle","win","Jorge Rivera","RSF 2 - Attack at the TrackJun / 23 / 2001","TKO (Corner Stoppage)N/A","2","1:54"
"22198","Branden Lee Hinkle","win","George Allen","RSF 1 - Redemption in the ValleyApr / 21 / 2001","TKON/A","2","0:00"
"23178","Branden Lee Hinkle","loss","Magomedkhan Gamzatkhanov","Rings - Millennium Combine 2Jun / 15 / 2000","Submission (Arm-Triangle Choke)N/A","1","8:11"
"24164","Branden Lee Hinkle","win","Yoshihisa Yamamoto","WEF 9 - World ClassMay / 13 / 2000","Submission (Rear-Naked Choke)N/A","1","2:21"
"25145","Branden Lee Hinkle","loss","Wataru Sakata","Rings - Millennium Combine 1Apr / 20 / 2000","Submission (Leg Lock)N/A","1","7:23"
"26135","Branden Lee Hinkle","loss","Maurice Smith","Rings - King of Kings 1999 Block BDec / 22 / 1999","Decision (Majority)N/A","2","5:00"
"27126","Branden Lee Hinkle","win","Travis Fulton","HFP - Holiday Fight PartyDec / 11 / 1999","TKO (Injury)N/A","1","12:38"
"28121","Branden Lee Hinkle","loss","Carlos Barreto","IVC 8 - The Road Back to the TopJan / 20 / 1999","Submission (Guillotine Choke)N/A","1","4:32"
"29114","Branden Lee Hinkle","win","Masanori Suda","VTJ 1998 - Vale Tudo Japan 1998Oct / 25 / 1998","TKO (Upkicks)N/A","1","5:26"
"30102","Branden Lee Hinkle","loss","Ebenezer Fontes Braga","IVC 6 - The ChallengeAug / 23 / 1998","Submission (Triangle Choke)N/A","1","12:33"
"21083","Jutaro Nakao","loss","Ibuki Shimada","Deep & Pancrase - Osaka TournamentNov / 17 / 2019","TKO (Eye Injury)N/A","2","3:20"
"3707","Jutaro Nakao","loss","Yoshitomo Watanabe","Deep - Cage Impact 2018 in OsakaOct / 08 / 2018","Decision (Unanimous)Ryuichi Tanaka","3","5:00"
"4563","Jutaro Nakao","win","Yuki Kondo","Pancrase / Deep - Pancrase vs. Deep: OsakaDec / 24 / 2017","TKO (Punches)N/A","2","0:57"
"5404","Jutaro Nakao","loss","Ryuichiro Sumimura","Deep - Cage Impact 2015 in OsakaOct / 11 / 2015","Decision (Unanimous)N/A","3","5:00"
"6354","Jutaro Nakao","win","Hidetora Hidetora","Deep - Cage Impact 2014 in OsakaOct / 19 / 2014","Decision (Unanimous)N/A","3","5:00"
"7324","Jutaro Nakao","loss","Katsunori Kikuno","Deep - Cage Impact 2013Jun / 15 / 2013","KO (Punch)Yoshinori Umeki","1","1:07"
"8294","Jutaro Nakao","win","Doo Jae Jung","Deep - Osaka Impact 2012Sep / 29 / 2012","Submission (Armbar)N/A","1","4:13"
"9272","Jutaro Nakao","loss","Yasuaki Kishimoto","Deep - Osaka ImpactSep / 04 / 2011","Decision (Unanimous)N/A","3","5:00"
"10260","Jutaro Nakao","loss","Satoru Kitaoka","Deep - 53 ImpactApr / 22 / 2011","Decision (Unanimous)Yoshinori Umeki","3","5:00"
"11251","Jutaro Nakao","win","Yuki Ito","Deep - 45 ImpactJan / 24 / 2010","Decision (Unanimous)N/A","3","5:00"
"12232","Jutaro Nakao","loss","Ryo Chonan","Deep - 43 ImpactAug / 23 / 2009","Decision (Unanimous)Samio Kimura","3","5:00"
"13209","Jutaro Nakao","loss","Koichiro Matsumoto","Deep - 40 ImpactFeb / 20 / 2009","Decision (Unanimous)Samio Kimura","3","5:00"
"14204","Jutaro Nakao","win","Yong Hoon Lee","Deep - GladiatorAug / 16 / 2008","TKO (Punches)N/A","2","2:26"
"15192","Jutaro Nakao","win","Shigetoshi Iwase","Deep - 35 ImpactMay / 19 / 2008","Decision (Unanimous)N/A","2","5:00"
"16188","Jutaro Nakao","loss","Tae Hyun Bang","Deep - 33 ImpactDec / 12 / 2007","TKO (Punches)N/A","2","1:15"
"17180","Jutaro Nakao","draw","Kiuma Kunioku","Deep - 30 ImpactJul / 08 / 2007","DrawN/A","3","5:00"
"18174","Jutaro Nakao","loss","Hidehiko Hasegawa","Deep - 28 ImpactFeb / 16 / 2007","Decision (Majority)N/A","3","5:00"
"19169","Jutaro Nakao","loss","Fabricio Monteiro","Deep - 26 ImpactOct / 10 / 2006","Decision (Unanimous)N/A","3","5:00"
"20156","Jutaro Nakao","win","Kosei Kubota","Deep - 25 ImpactAug / 04 / 2006","TKO (Soccer Kicks)N/A","2","2:08"
"21218","Jutaro Nakao","win","Seichi Ikemoto","Real Rhythm - 3rd StageMar / 04 / 2006","Decision (Majority)N/A","3","5:00"
"22199","Jutaro Nakao","draw","Won Jin Eoh","Deep - 20th ImpactSep / 03 / 2005","DrawN/A","3","5:00"
"23179","Jutaro Nakao","loss","Marcus Aurelio","Pride - Bushido 8Jul / 17 / 2005","Decision (Unanimous)N/A","2","5:00"
"24165","Jutaro Nakao","win","Kyosuke Sasaki","Real Rhythm - 1st StageMar / 06 / 2005","Decision (Unanimous)N/A","3","5:00"
"25146","Jutaro Nakao","win","Daisuke Nakamura","Deep - 16th ImpactOct / 30 / 2004","TKO (Punches)Yoshinori Umeki","3","3:16"
"26136","Jutaro Nakao","win","Shinya Aoki","Deep - 16th ImpactOct / 30 / 2004","KO (Punch)Daisuke Noguchi","1","4:29"
"27127","Jutaro Nakao","win","Kenji Arai","Deep - 15th ImpactJul / 03 / 2004","Submission (Triangle Choke)Daisuke Noguchi","1","4:04"
